Program started...
Building Faulty versions for project javaparser
Building next faulty Version javaparser-191 with 20 faults, 118 failures, 951 passing Test Cases and 2545 relevant methods.
Building next faulty Version javaparser-192 with 20 faults, 436 failures, 633 passing Test Cases and 2931 relevant methods.
Building next faulty Version javaparser-193 with 20 faults, 343 failures, 726 passing Test Cases and 2860 relevant methods.
Building next faulty Version javaparser-194 with 20 faults, 329 failures, 740 passing Test Cases and 2738 relevant methods.
Building next faulty Version javaparser-195 with 20 faults, 155 failures, 914 passing Test Cases and 2689 relevant methods.
Building next faulty Version javaparser-196 with 20 faults, 84 failures, 985 passing Test Cases and 2568 relevant methods.
Building next faulty Version javaparser-197 with 20 faults, 187 failures, 882 passing Test Cases and 2760 relevant methods.
Building next faulty Version javaparser-198 with 20 faults, 328 failures, 741 passing Test Cases and 2749 relevant methods.
Building next faulty Version javaparser-199 with 20 faults, 621 failures, 448 passing Test Cases and 3014 relevant methods.
Building next faulty Version javaparser-200 with 20 faults, 137 failures, 932 passing Test Cases and 2596 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-20.xml
Building next faulty Version javaparser-201 with 2 faults, 251 failures, 818 passing Test Cases and 2567 relevant methods.
Building next faulty Version javaparser-202 with 2 faults, 580 failures, 489 passing Test Cases and 2836 relevant methods.
Building next faulty Version javaparser-203 with 2 faults, 70 failures, 999 passing Test Cases and 1998 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-21.xml
Building next faulty Version javaparser-204 with 3 faults, 454 failures, 615 passing Test Cases and 2821 relevant methods.
Building next faulty Version javaparser-205 with 3 faults, 51 failures, 1018 passing Test Cases and 2144 relevant methods.
Building next faulty Version javaparser-206 with 3 faults, 65 failures, 1004 passing Test Cases and 2174 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-22.xml
Building next faulty Version javaparser-207 with 4 faults, 103 failures, 966 passing Test Cases and 2301 relevant methods.
Building next faulty Version javaparser-208 with 4 faults, 483 failures, 586 passing Test Cases and 2783 relevant methods.
Building next faulty Version javaparser-209 with 4 faults, 461 failures, 608 passing Test Cases and 2866 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-23.xml
Building next faulty Version javaparser-210 with 5 faults, 80 failures, 989 passing Test Cases and 2137 relevant methods.
Building next faulty Version javaparser-211 with 5 faults, 297 failures, 772 passing Test Cases and 2637 relevant methods.
Building next faulty Version javaparser-212 with 5 faults, 281 failures, 788 passing Test Cases and 2637 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-24.xml
Building next faulty Version javaparser-213 with 6 faults, 73 failures, 996 passing Test Cases and 2221 relevant methods.
